X,Y,OBJECTID,ORGID,ORGANIZATI,ADDRESS,CITY,STATE,ZIP,Lon,Lat,GRTYPE
460627.850578542798758,212700.61104248277843,48,PS058,Camels Hump Middle School,173 SCHOOL STREET,RICHMOND,VT,05477,-72.99435,44.413467,Middle
575880.732477880083025,277694.556703012436628,49,PS059,Canaan Schools,99 SCHOOL STREET,CANAAN,VT,05903,-71.53766175,44.99536987,K-12
488873.990636848844588,98204.38104784861207,50,PS063,Cavendish Town Elem School,573 MAIN ST,PROCTORSVILLE,VT,05153,-72.63730977,43.38394374,Elementary
504020.008058954961598,70237.242205802351236,51,PS249,Central Elementary School,50 SCHOOL STREET EXTENSION,BELLOWS FALLS,VT,05101,-72.45059165,43.13227203,Elementary
447043.919685891829431,219246.113768577575684,52,PS064,Chamberlin School,262 WHITE STREET,SO BURLINGTON,VT,05403-5940,-73.165566,44.471504,Elementary
443238.223042347468436,217673.643623113632202,53,PS065,Champlain Elementary School,800 PINE STREET,BURLINGTON,VT,05401,-73.21322112,44.45706494,Elementary
451376.559561926871538,205120.249051421880722,54,PS066,Champlain Valley UHS #15,369 CVU ROAD,HINESBURG,VT,05461,-73.10979326,44.34468864,Secondary
537983.830042585730553,260424.807438928633928,55,PS067,Charleston Elem School,255 CENTER SCHOOL ROAD,WEST CHARLESTON,VT,05872,-72.01955107,44.8430074,Elementary
442048.130625238642097,201913.996760437265038,56,PS068,Charlotte Central School,408 HINESBURG ROAD,CHARLOTTE,VT,05445,-73.22641754,44.31515121,Elementary
504287.161083203740418,165190.657590234652162,57,PS069,Chelsea Elem High School,6 SCHOOL ST,CHELSEA,VT,05038-9746,-72.44655807,43.98693886,K-12
492250.569071993231773,84947.373291503638029,58,PS070,Chester Andover US #29,72 MAIN STREET,CHESTER,VT,05143,-72.59545135,43.26465607,Elementary
462196.129620003513992,118225.350538495928049,59,PS071,Clarendon Elementary School,84 GRANGE HALL RD,NORTH CLARENDON,VT,05759,-72.9679315,43.56327856,Elementary
443299.186114404350519,226831.540207643061876,60,PS072,Colchester High School,131 LAKER LANE,COLCHESTER,VT,05446,-73.21345943,44.53947928,Secondary
443596.185794680379331,226918.180591722950339,61,PS073,Colchester Middle School,425 BLAKELY ROAD,COLCHESTER,VT,05446,-73.20973208,44.54028221,Middle
548517.612452396191657,214208.639459887519479,62,PS074,Concord Graded/High School,173 SCHOOL STREET,CONCORD,VT,05824,-71.89068604,44.42648315,K-12
518577.435400512069464,262503.479184864088893,63,PS077,Coventry Village School,348 ROUTE 5,COVENTRY,VT,05825,-72.26493897,44.86248181,Elementary
509379.807999946177006,239348.322939300909638,64,PS078,Craftsbury Schools,1422 NORTH CRAFTSBURY ROAD,CRAFTSBURY COMM,VT,05827,-72.38174234,44.65428855,K-12
479857.181412450969219,202376.440280867740512,65,PS391,Crossett Brook Middle US #45,5672 VT ROUTE 100,DUXBURY,VT,05676,-72.75251376,44.32134377,Middle
459857.685329825617373,94549.214324444532394,66,PS079,Currier Memorial US #23,234 NORTH MAIN ST,DANBY,VT,05739-0243,-72.99513355,43.35005342,Elementary
528394.356625654734671,212350.282978156581521,67,PS082,Danville School,148 PEACHAM ROAD,DANVILLE,VT,05828,-72.14350128,44.41082764,K-12
470409.535323652438819,43318.795076733455062,68,PS083,Deerfield Valley Elem School,360 RT 100 NORTH,WILMINGTON,VT,05363-9634,-72.86225446,42.88939531,Elementary
530083.902483228594065,277983.900319281965494,69,PS084,Derby Elementary School,907 ELM STREET,DERBY LINE,VT,05830,-72.11842851,45.0013908,Elementary
454027.479756395332515,80351.566055223345757,70,PS085,Dorset School,130 SCHOOL DRIVE,DORSET,VT,05251,-73.06585693,43.22192764,Elementary
514374.485252598300576,131955.067671282216907,71,PS378,Dothan Brook School,2300 CHRISTIAN STREET,WHITE RIVER JCT,VT,05001,-72.32170708,43.68767582,Elementary
496178.55781165137887,208125.065182220190763,72,PS357,Doty Memorial School,24 CALAIS RD,WORCESTER,VT,05682-0162,-72.54794862,44.3733486,Elementary
474700.923871649429202,48797.547849835827947,73,PS086,Dover Elementary School,9 SCHOOLHOUSE ROAD,EAST DOVER,VT,05341,-72.80996601,42.9388682,Elementary
496900.755956324748695,48166.103881247341633,74,PS087,Dummerston Schools,52 SCHOOLHOUSE ROAD,EAST DUMMERSTON,VT,05346,-72.53796893,42.93359735,Elementary
500375.88799156062305,198515.007445270195603,75,PS091,East Montpelier Elem School,665 VINCENT FLATS RD,EAST MONTPELIER,VT,05651-0190,-72.49529056,44.28687085,Elementary
494962.03889851924032,244881.352960452437401,76,PS093,Eden Central School,140 KNOWLES FLAT RD,EDEN,VT,05652,-72.5635715,44.70412468,Elementary
443730.869186806492507,219710.143081011250615,77,PS094,Edmunds Elementary School,299 MAIN STREET,BURLINGTON,VT,05401,-73.20725266,44.47542949,Elementary
443670.13933074939996,219715.533033015206456,78,PS095,Edmunds Middle School,275 MAIN STREET,BURLINGTON,VT,05401,-73.20801651,44.47547326,Middle
501261.24978438578546,89549.302895788103342,79,PS277,Elm Hill School,10 HOOVER STREET,SPRINGFIELD,VT,05156,-72.48445437,43.30611846,Elementary
498177.149173513054848,226717.127151535823941,80,PS156,Elmore School,1199 VT RTE 12,LAKE ELMORE,VT,05657,-72.52293719,44.54067575,Elementary
476225.875809069722891,267169.526549210771918,81,PS096,Enosburgh Elementary School,303 DICKENSON AVENUE,ENOSBURG FALLS,VT,05450,-72.80103302,44.90431595,Elementary
476004.308960863389075,267266.76661330088973,82,PS098,Enosburgh Falls Middle-High School,65 DICKENSON AVENUE,ENOSBURG FALLS,VT,05450,-72.80384312,44.90518355,Secondary
455819.472206064499915,223797.55722881667316,83,PS099,Essex Elementary School,1 BIXBY HILL ROAD,ESSEX JUNCTION,VT,05452,-73.055667,44.513052,Elementary
455591.213517852127552,222253.235947379842401,84,PS101,Essex Middle School,60 FOUNDERS RD,ESSEX JUNCTION,VT,05452,-73.05840502,44.49914065,Middle
451609.794122143648565,222089.734123226255178,85,PS388,Essex UHSD #46,2 EDUCATIONAL LANE,ESSEX JUNCTION,VT,05452,-73.1084502,44.49741358,Secondary
438199.587517654523253,121918.65268593467772,86,PS103,Fair Haven Grade School,103 N. MAIN STREET,FAIR HAVEN,VT,05743,-73.26535757,43.59491721,Elementary
437832.208445312455297,122892.669966842979193,87,PS104,Fair Haven UHS #16,33 MECHANIC STREET EXTENSION,FAIR HAVEN,VT,05743,-73.27001871,43.60365286,Secondary
464561.712982206605375,255687.665034517645836,88,PS105,Fairfield Center School,57 PARK STREET,FAIRFIELD,VT,05455,-72.94792175,44.80051041,Elementary
469275.901658596470952,186620.598602194339037,89,PS107,Fayston Elementary School,782 GERMAN FLATS ROAD,FAYSTON,VT,05673,-72.88423573,44.17917677,Elementary
440221.482943537645042,189889.135949237272143,90,PS108,Ferrisburgh Central School,56 LITTLE CHICAGO ROAD,FERRISBURGH,VT,05456,-73.24793915,44.20679102,Elementary
446759.056581626646221,63100.050775155425072,91,PS109,Fisher School,504 EAST ARLINGTON RD,ARLINGTON,VT,05250,-73.15365909,43.06616937,Elementary
466388.184279907494783,241220.418301044031978,92,PS110,Fletcher Elementary School,340 SCHOOL ROAD,CAMBRIDGE,VT,05444,-72.92388459,44.67041048,Elementary
471724.680540877394378,81925.059048688039184,93,PS111,Flood Brook US #301,91 VT ROUTE 11,LONDONDERRY,VT,05148,-72.8481151,43.23696113,Elementary
436351.825211933813989,237656.864121723920107,94,PS112,Folsom Ed And Community CTR,75 SOUTH STREET,SOUTH HERO,VT,05486,-73.30220795,44.63631058,Elementary
455842.74990208633244,222396.730219513177872,95,PS113,Founders Memorial School,33 FOUNDERS RD,ESSEX JUNCTION,VT,05452,-73.05525456,44.50044737,Elementary
466867.529048353433609,276104.220701532438397,96,PS115,Franklin Elementary School,15 SCHOOL ST,FRANKLIN,VT,05457,-72.92011366,44.98434093,Elementary
446077.317316991277039,217613.110375057905912,97,PS273,Frederick H Tuttle Middle School,500 DORSET STREET,S BURLINGTON,VT,05403,-73.17754367,44.45673739,Middle
451357.428937909193337,248530.934915851801634,98,PS117,Georgia Elem/Middle School,4416 ETHAN ALLEN HIGHWAY,ST ALBANS,VT,05478,-73.11412605,44.7353341,Elementary
524601.352974122390151,245125.112832680344582,99,PS118,Glover Community School,100 SCHOOL STREET,GLOVER,VT,05839,-72.18955836,44.70591407,Elementary
437295.728700812906027,247576.643458962440491,100,PS122,Grand Isle School,224 US RTE 2,GRAND ISLE,VT,05458,-73.2915268,44.7256546,Elementary
493371.994353038258851,83654.898538298904896,101,PS124,Green Mountain UHS #35,716 VT RTE 103 SOUTH,CHESTER,VT,05143,-72.581623,43.25303269,Secondary
494687.301234262995422,39074.192832781001925,102,PS385,Green Street School,164 GREEN STREET,BRATTLEBORO,VT,05301,-72.565,42.85174,Elementary
574323.440700429491699,230008.6268026009202,103,PS127,Guildhall Elementary School,ROUTE 102,GUILDHALL,VT,05905,-71.56436517,44.5664669,Elementary
489991.40375788975507,33410.512315506115556,104,PS128,Guilford Central School,374 SCHOOL ROAD,GUILFORD,VT,05301,-72.62235285,42.80070816,Elementary
478023.384034743532538,31618.768057836219668,105,PS129,Halifax School,246 BRANCH ROAD,WEST HALIFAX,VT,05358,-72.76858832,42.78432902,Elementary
510481.961344973184168,222576.821099679917097,106,PS131,Hardwick Elementary School,135 SOUTH MAIN STREET,HARDWICK,VT,05843,-72.3681882,44.50334171,Elementary
514582.012164791114628,128633.218324188143015,107,PS134,Hartford High School,37 HIGHLAND AVENUE,WHITE RIVER JCT,VT,05001,-72.31922282,43.6577728,Secondary
514509.759876724332571,128504.64962006919086,108,PS135,Hartford Mem Middle School,245 HIGHLAND AVENUE,WHITE RIVER JCT,VT,05001,-72.320122,43.656617,Middle
508560.052991182543337,115330.187783798202872,109,PS137,Hartland Elementary School,97 MARTINSVILLE ROAD,HARTLAND,VT,05048,-72.39408875,43.5381279,Elementary
477115.562081897631288,194920.713169923052192,110,PS138,Harwood UHS #19,458 VT ROUTE 100,DUXBURY,VT,05660,-72.78655636,44.2541636,Secondary
510755.15225722733885,223195.266156256198883,111,PS139,Hazen UHS #26,126 HAZEN UNION DRIVE,HARDWICK,VT,05843,-72.36473994,44.50890333,Secondary
450076.265288716182113,221163.706858364865184,112,PS141,Hiawatha School,34 HIAWATHA AVENUE,ESSEX JUNCTION,VT,05452,-73.127642,44.488976,Elementary
457059.789135219529271,271390.801433142274618,113,PS142,Highgate Elementary School,219 GORE ROAD,HIGHGATE CENTER,VT,05459,-73.044068,44.941403,Elementary
451527.720778067596257,203080.315865522250533,114,PS143,Hinesburg Community School,10888 RT 116,HINESBURG,VT,05461,-73.107708,44.326341,Elementary
538429.295771000906825,274879.834908390417695,115,PS144,Holland Elementary School,26 SCHOOL ROAD,DERBY LINE,VT,05830,-72.01281915,44.97305666,Elementary
440433.107263734564185,223955.767148964107037,116,PS169,Hunt Middle School,1364 NORTH AVENUE,BURLINGTON,VT,05401,-73.24918817,44.51337031,Middle
490990.57841482013464,232433.110772859305143,117,PS145,Hyde Park Elementary School,50 EAST MAIN STREET,HYDE PARK,VT,05655,-72.61346667,44.59206173,Elementary
443213.958338324911892,221110.78065031580627,118,PS337,Integrated Arts Acad At Ho Wheeler,6 ARCHIBALD STREET,BURLINGTON,VT,05401,-73.21390296,44.48799308,Elementary
517973.438727949745953,255963.635850774124265,119,PS147,Irasburg Village School,292 ROUTE 58 EAST,IRASBURG,VT,05845,-72.27281264,44.80364628,Elementary
433215.190073012374341,265043.415443230420351,120,PS148,Isle La Motte Elem School,534 SCHOOL ST,ISLE LAMOTTE,VT,05463,-73.34532296,44.88245167,Elementary
445867.549124795943499,222468.608363579958677,121,PS154,JFK Middle,70 NORMAND STREET,WINOOSKI,VT,05404-1393,-73.18068707,44.50041556,Elementary
439577.07910293713212,224369.595501350238919,122,PS155,J J Flynn School,1645 NORTH AVENUE,BURLINGTON,VT,05401,-73.26000212,44.51702307,Elementary
477606.573282355442643,67146.756186924874783,123,PS149,Jamaica Village School,347 DEPOT ST,JAMAICA,VT,05343,-72.77510269,43.10413262,Elementary
505126.863867986015975,272500.172954175621271,124,PS374,Jay/Westfield Joint School,257 REVOIR FLATS RD,JAY,VT,05859,-72.43502808,44.95266342,Elementary
461029.376082916744053,222963.382252041250467,125,PS152,Jericho Elementary School,90 VT RTE 15,JERICHO,VT,05465-9423,-72.99008067,44.50584517,Elementary
445842.51949277240783,222551.264363655820489,126,PS351,Winooski High School,80 NORMAND STREET,WINOOSKI,VT,05404,-73.18101044,44.50115749,Secondary
486112.757994277402759,237452.549625534564257,127,PS153,Johnson Elementary School,57 COLLEGE HILL,JOHNSON,VT,05656,-72.67503444,44.63715519,Elementary
476277.547745117917657,127192.007186846807599,128,PS267,Killington Elementary School,686 SCHOOL HOUSE ROAD,KILLINGTON,VT,05751,-72.79402923,43.64456558,Elementary
522138.120971828699112,253643.103752613067627,129,PS157,Lake Region UHS #24,317 LAKE REGION ROAD,ORLEANS,VT,05860,-72.2202718,44.78264726,Secondary
516360.140038447454572,231198.185331709682941,130,PS126,Lakeview US #43,189 LAURENDON AVE,GREENSBORO,VT,05841,-72.29399645,44.58081885,Elementary
489592.179565518163145,233432.190069790929556,131,PS158,Lamoille UHS,736 VT ROUTE 15 WEST,HYDE PARK,VT,05655,-72.63109859,44.60103386,Secondary
451032.117449605837464,152024.980905974283814,132,PS160,Leicester Central School,68 SCHOOLHOUSE ROAD,LEICESTER,VT,05733,-73.10918539,43.86683205,Elementary
486388.218218534253538,60729.476436948403716,133,PS161,Leland And Gray UHS #34,2042 VT RT 30,TOWNSHEND,VT,05353,-72.667064,43.046575,Secondary
461080.640338964760303,177587.532737780362368,134,PS162,Lincoln Community School,795 EAST RIVER RD,LINCOLN,VT,05443,-72.98605507,44.09749133,Elementary
