OBJECTID,SEGMENTID,ARCID,PD,PT,SN,ST,SD,GEONAMEID,PRIMARYNAME,ALIAS1,ALIAS2,ALIAS3,ALIAS4,ALIAS5,SURFACETYPE,ONEWAY,RTNAME,RTNUMBER,HWYSIGN,RPCCLASS,AOTCLASS,NUTS,NHS,FUNCL,TWN_LR,ETE_LR,CTCODE,UA,CTUA,CERTCODE,ARCMILES,AOTMILES,AOTMILES_CALC,UPDACT,LOCMETH,SRCORG,SCENICHWY,SCENICBYWAY,FORMER_RTNAME,PROVISIONALYEAR,ANCIENTROADYEAR,TRUCKROUTE,SPEEDLIMIT,ROADCLOSED,ISVISIBLE,CERTYEAR,GlobalID,FIPS8,RTNUMBER_N,RDNAME,RDFLNAME,ISVISIBLE_UC,FUNCL_OLD,Urban_Code,FAID,FED_AID,Facility_Type,PENT,TOWNGEOID,StartNodeID,EndNodeID,Ownership,created_user,created_date,last_edited_user,last_edited_date,UPDATENOTES
4407,73860,783, , ,LACROSSE,DR, ,368850,LACROSSE DR,,,,,,Paved,Yes - Direction of arc,TH-132,132,TH-132,3,Town Highway Class 3,N,0,7,L0111003132,-,0111,0,0111-0,0111-0,0.01082075,0.01,0,-,1,26,0,0,,,0,0,,,1,2010,{E416029A-D14D-4EF5-9D33-858CDE099CBC},50001055,132,368850,LACROSSE DR,1,19,99998,500010550783,-,1,N,5000144350,35441,34790,3,,,HMSADMIN,2018-01-29T19:32:29.000Z,-
4484,48626,241,,,SOUTH,ST,,12119,SOUTH ST,,,,,,Paved,No,TH-6,6,TH-6,3,Town Highway Class 3,N,0,5,S59300111,S5930,0111,1,0111-1,0111-0,0.06458818,0.06,0,-,1,26,0,0,,,0,0,,,1,,{2F893A0A-8E42-4F34-9F42-728433F84C98},50001055,6,12119,SOUTH ST,1,17,99998,500010550241,5930,2,N,5000144350,13300,46641,3,,,HMSADMIN,2018-04-18T16:41:47.000Z,-
4623,55944,227, , ,DWIRE,CIR, ,12136,DWIRE CIR,,,,,,Paved,No,TH-108,108,TH-108,3,Town Highway Class 3,N,0,7,L0111003108,-,0111,1,0111-1,0111-0,0.03841176,0.04,0,-,2,26,0,0,,,0,0,,,1,,{078DB600-B5C6-4A4E-9435-6CDF3F06E51D},50001055,108,12136,DWIRE CIR,0,19,99998,500010550227,-,2,N,5000144350,46603,53997,3,,,,,-
4890,52428,839,,,MAIN,ST,,12126,MAIN ST,,,,,,Paved,Yes - Direction of arc,TH-2,2,VT-30,12,Town Highway Class 1 - South Bound,N,0,4,V030-0111S,V030-S,0111,1,0111-1,0111-0,0.01619172,0.016,0,-,5,26,0,200,,,0,0,,,1,2011,{893603E7-6131-4827-9CAF-940CB9EA5EFE},50001055,2,12126,MAIN ST,1,16,99998,500010550839,5900,6,N,5000144350,37720,37924,3,,,HMSADMIN,2018-04-27T17:47:14.000Z,-
5100,44974,59, , ,BITTERSWEET FALLS,RD, ,23244,BITTERSWEET FALLS RD,,,,,,Gravel,No,TH-15,15,TH-15,3,Town Highway Class 3,N,0,7,L0122003015,-,0122,0,0122-0,0122-0,1.29443574,1.39,0,-,1,26,0,0,,,0,0,,,1,,{1C953CC8-7FA5-4542-9490-0D025A3167D3},50001110,15,23244,BITTERSWEET FALLS RD,1,9,99999,500011100059,-,2,N,5000183275,7164,7165,3,,,RDSEditor,2017-07-12T22:44:20.000Z,-
5661,37578,764,,,TWIN,CIRS,,12300,TWIN CIRS,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.08158503,0,0,-,8,26,0,0,,0,0,0,,,1,0,{4D462037-3B28-4C47-A9BE-7634F8B59DC2},50001055,0,12300,TWIN CIRS,0,0,99998,500010550764,-,,N,5000144350,3542,4513,26,,,,,-
5839,37444,124,,,WASHINGTON,ST,,12156,WASHINGTON ST,,,,,,Paved,No,TH-6,6,TH-6,2,Town Highway Class 2,N,0,5,S59340111,S5934,0111,1,0111-1,0111-0,0.17636798,0.18,0,-,1,26,0,0,,,0,0,,,1,,{38D5B2BD-F4BF-48CB-8C03-1C1F282FE4F5},50001055,6,12156,WASHINGTON ST,1,17,99998,500010550124,5934,2,N,5000144350,30783,3087,3,,,HMSADMIN,2019-10-30T18:22:39.000Z,-
5989,48671,838,,,MAIN,ST,,12126,MAIN ST,,,,,,Paved,Yes - Direction of arc,TH-2,2,VT-30,12,Town Highway Class 1 - South Bound,N,0,4,V030-0111S,V030-S,0111,1,0111-1,0111-0,0.01655688,0.017,0,-,5,26,0,200,,,0,0,,,1,2011,{E0925B39-C287-49CD-B841-8829F9FF1F6A},50001055,2,12126,MAIN ST,1,16,99998,500010550838,5900,6,N,5000144350,37689,37690,3,,,HMSADMIN,2018-04-27T17:47:20.000Z,-
6009,56065,69, , ,GAMBREL,CT, ,12171,GAMBREL CT,,,,,,Paved,No,TH-110,110,TH-110,3,Town Highway Class 3,N,0,7,L0111003110,-,0111,1,0111-1,0111-0,0.04025623,0.04,0,-,1,26,0,0,,,0,0,,,1,,{F348E675-D3FC-48F2-912C-1A2E8C00E6BB},50001055,110,12171,GAMBREL CT,0,19,99998,500010550069,-,2,N,5000144350,2813,2814,3,,,,,-
6880,22,392,,,MAPLE,ST,,12187,MAPLE ST,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.07052372,0,0,-,1,26,0,0,,0,0,0,,,1,0,{FB169002-2F47-482A-87C0-2F11855FCEA1},50001055,0,12187,MAPLE ST,0,0,99998,500010550392,-,,N,5000144350,3090,3091,26,,,,,-
6927,254212,172, , ,LEDGEMONT,LN, ,5754,LEDGEMONT LN,,,,,,Gravel,No,TH-13,13,TH-13,3,Town Highway Class 3,N,0,7,L0104003013,-,0104,0,0104-0,0104-0,0.42953694,0.43,0,-,1,26,0,0,,,0,0,,,1,,{1E43C6E3-27E5-4C5A-83E1-8D817C25AF80},50001020,13,5754,LEDGEMONT LN,1,9,99999,500010200172,-,2,N,5000116000,28138,44834,3,,,HMSADMIN,2018-04-26T14:34:01.000Z,-
7282,11245,64,,,SPRINGSIDE,RD,,12175,SPRINGSIDE RD,,,,,,Paved,No,TH-77,77,TH-77,3,Town Highway Class 3,N,0,7,L0111003077,-,0111,1,0111-1,0111-0,0.09543447,0.08,0,-,1,26,0,0,,,0,0,,,1,,{8A2513FA-7715-4829-80FB-89590B6628E5},50001055,77,12175,SPRINGSIDE RD,0,19,99998,500010550064,-,2,N,5000144350,44628,53994,3,,,HMSADMIN,2018-04-27T17:58:22.000Z,-
